ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
122,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200PvP等级：|r 之前一周达到1000+|n|cFFFFD200价格：|r 500荣誉点数|n|cFFFFD200商人出售：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200PvP等级：|r 之前一周达到1000+|n|cFFFFD200价格：|r 500荣誉点数|n|cFFFFD200商人出售：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉,32,2,304086,304055,304088,304089
123,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200PvP等级：|r 之前一周达到1400+|n|cFFFFD200价格：|r 1000荣誉点数|n|cFFFFD200商人出售：|r 加布里埃尔元帅|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200PvP等级：|r 之前一周达到1400+|n|cFFFFD200价格：|r 1000荣誉点数|n|cFFFFD200商人出售：|r 山德·希尔伯曼|n|cFFFFD200地区：|r 穆贾巴拉,32,3,303892,304125,304121,304123
124,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200PvP等级：|r 2400+|n|cFFFFD200掉落：|r 战争宝箱|n|cFFFFD200地区：|r 伯拉勒斯艾什凡码头,评级PvP|n|cFFFFD200赛季：|r 第三赛季及以后|n|cFFFFD200PvP等级：|r 2400+|n|cFFFFD200掉落：|r 战争宝箱|n|cFFFFD200地区：|r 穆贾巴拉,32,4,303894,304533,304121,304123
125,"锦绣谷|n|cFFFFD200任务链起始：|r|n""披荆斩棘""|n|cFFFFD200任务链结束：|r|n""重拾希望""|n|cFFFFD200任务给予人：|r麦格尼·铜须|n|cFFFFD200地区：|r心之秘室",,33,1,295046,295164,295046,295164
126,锦绣谷|n|cFFFFD200组合：|r永生精魂之息|n|cFFFFD200任务：|r|n每周第一次完成黑暗幻象日常任务|n|cFFFFD200任务给予人：|r黑爪特工|n|cFFFFD200地区：|r|n奥丹姆或锦绣谷的黑暗幻象传送门附近,,33,2,295098,295349,299984,299989
127,锦绣谷|n|cFFFFD200声望：|r 莱加尼 - 崇敬|n|cFFFFD200商人出售：|r 章喾|n|cFFFFD200地区：|r 缄默圣地|n|cFFFFD200价格：|r 50 腐化的纪念品,,33,3,295119,295353,299988,299991
128,锦绣谷 |n|cFFFFD200声望：|r 莱加尼补给品|n|cFFFFD200商人出售：|r 章喾 |n|cFFFFD200地区：|r 缄默圣地,,33,4,295308,295309,299988,299991
129,恩佐斯的惊魂幻象|n|cFFFFD200掉落：|r|n萨尔或奥蕾莉亚的诅咒宝箱|n|cFFFFD200地区：|r心之秘室,,34,1,310592,310603,310592,310603
130,恩佐斯的惊魂幻象|n|cFFFFD200掉落：|r|n失落区域的腐化的宝箱|n|cFFFFD200地区：|r心之秘室,,34,2,310597,310605,310601,310607
131,恩佐斯的惊魂幻象|n|cFFFFD200组合：|r坚壁之力火花|n|cFFFFD200掉落：|r|n腐化和失落区域的腐化的宝箱|n|cFFFFD200地区：|r心之秘室,,34,3,310599,310606,310602,310608
132,恩佐斯的惊魂幻象|n|cFFFFD200成就：|r|n“幻象彼岸”|n|cFFFFD200NPC：|r拉希奥|n|cFFFFD200地区：|r心之秘室,,34,4,310600,310609,310602,310608
133,"奥丹姆|n|cFFFFD200任务链起始：|r|n""泰坦的问题""|n|cFFFFD200提供奖励的任务：|r|n""威胁突显""|n|cFFFFD200任务给予人：|r法奥瑞斯国王|n|cFFFFD200地区：|r拉穆卡恒",,35,1,310690,310712,310690,310712
134,奥丹姆|n|cFFFFD200组合：|r永生精魂之息|n|cFFFFD200任务：|r每周第一次完成黑暗幻象日常任务|n|cFFFFD200任务给予人：|r黑爪特工|n|cFFFFD200地区：|r|n奥丹姆或锦绣谷的黑暗幻象传送门附近,,35,2,310705,311166,311194,311197
135,奥丹姆|n|cFFFFD200声望：|r奥丹姆联军 - 崇敬|n|cFFFFD200商人出售：|r供给官寇拉|n|cFFFFD200地区：|r拉穆卡恒|n|cFFFFD200价格：|r50 腐化的纪念品,,35,3,310710,311167,311195,311198
136,奥丹姆|n|cFFFFD200声望：|r奥丹姆联军补给品|n|cFFFFD200商人出售：|r供给官寇拉|n|cFFFFD200地区：|r拉穆卡恒,,35,4,310711,311177,311195,311198
137,恩佐斯的惊魂幻象|n|cFFFFD200掉落：|r|n萨尔或奥蕾莉亚的诅咒宝箱|n|cFFFFD200地区：|r心之秘室,,36,1,311203,311210,311203,311210
138,恩佐斯的惊魂幻象|n|cFFFFD200掉落：|r|n失落区域的腐化的宝箱|n|cFFFFD200地区：|r心之秘室,,36,2,311206,311211,311302,311304
139,恩佐斯的惊魂幻象|n|cFFFFD200组合：|r坚壁之力火花|n|cFFFFD200掉落：|r|n腐化和失落区域的腐化的宝箱|n|cFFFFD200地区：|r心之秘室,,36,3,311207,311212,311303,311306
140,恩佐斯的惊魂幻象|n|cFFFFD200成就：|r|n“幻象彼岸”|n|cFFFFD200NPC：|r拉希奥|n|cFFFFD200地区：|r心之秘室,,36,4,311209,311213,311303,311306
141,尼奥罗萨团队副本|n|cFFFFD200组合：|r|n尼奥罗萨密文信|n|cFFFFD200掉落：|r|n先知斯基特拉、虚无者莱登、维克修娜、伊格诺斯、重生之蚀或腐蚀者恩佐斯,,37,1,312725,312771,312725,312771
142,尼奥罗萨团队副本|n|cFFFFD200组合：|r|n尼奥罗萨密文信|n|cFFFFD200掉落：|r|n先知斯基特拉、虚无者莱登、维克修娜、伊格诺斯、重生之蚀或腐蚀者恩佐斯,,37,2,312764,312773,313921,313919
143,尼奥罗萨团队副本|n|cFFFFD200组合：|r|n尼奥罗萨密文信|n|cFFFFD200掉落：|r|n先知斯基特拉、虚无者莱登、维克修娜、伊格诺斯、重生之蚀或腐蚀者恩佐斯,,37,3,312768,312774,313922,313920
144,尼奥罗萨团队副本|n|cFFFFD200掉落：|r|n腐蚀者恩佐斯 - 史诗难度,,37,4,312770,312775,313922,313920
