ID,SourceAlliance_lang,SourceHorde_lang,AzeriteEssenceID,Tier,MajorPowerDescription,MinorPowerDescription,MajorPowerActual,MinorPowerActual
123,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200積分：|r上週1400+|n|cFFFFD200費用：|r1000點榮譽點數|n|cFFFFD200商人：|r賈伯里元帥|n|cFFFFD200地點：|r艾胥凡碼頭，波拉勒斯,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200積分：|r上週1400+|n|cFFFFD200費用：|r1000點榮譽點數|n|cFFFFD200商人：|r山德‧銀法|n|cFFFFD200地點：|r穆干巴拉,32,3,303892,304125,304121,304123
124,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200積分：|r2400+|n|cFFFFD200掉落：|r戰爭寶箱|n|cFFFFD200地點：|r波拉勒斯的艾胥凡碼頭,PvP積分賽程|n|cFFFFD200賽季：|r第三季或之後賽季|n|cFFFFD200積分：|r2400+|n|cFFFFD200掉落：|r戰爭寶箱|n|cFFFFD200地點：|r穆干巴拉,32,4,303894,304533,304121,304123
125,恆春谷|n|cFFFFD200任務串起點：|r|n「處境堪慮」|n|cFFFFD200任務串終點：|r|n「重拾希望」|n|cFFFFD200任務給予者：|r麥格尼‧銅鬚|n|cFFFFD200地點：|r心之室,,33,1,295046,295164,295046,295164
126,恆春谷|n|cFFFFD200合成：|r永恆靈魂之息|n|cFFFFD200任務：|r|n當週第一個黑暗幻象每日任務。|n|cFFFFD200任務給予者：|r暗爪探員|n|cFFFFD200地點：|r|n靠近奧丹姆或恆春谷的黑暗幻象傳送門,,33,2,295098,295349,299984,299989
127,恆春谷|n|cFFFFD200聲望：|r萊加尼 - 崇敬|n|cFFFFD200商人：|r張古|n|cFFFFD200地點：|r靜默聖地|n|cFFFFD200費用：|r50個腐化的紀念物,,33,3,295119,295353,299988,299991
128,恆春谷|n|cFFFFD200聲望：|r萊加尼補給品|n|cFFFFD200商人：|r張古|n|cFFFFD200地點：|r靜默聖地,,33,4,295308,295309,299988,299991
129,恩若司的恐怖幻象|n|cFFFFD200掉落：|r|n索爾或艾蘭里亞的詛咒寶箱|n|cFFFFD200地點：|r心之室,,34,1,310592,310603,310592,310603
130,恩若司恐怖幻象|n|cFFFFD200掉落：|r|n失落區域的腐化寶箱|n|cFFFFD200地點：|r心之室,,34,2,310597,310605,310601,310607
131,恩若司恐怖幻象|n|cFFFFD200合成：|r堅定力量的火花|n|cFFFFD200掉落：|r|n腐化與失落區域的腐化寶箱|n|cFFFFD200地點：|r心之室,,34,3,310599,310606,310602,310608
132,恩若司恐怖幻象|n|cFFFFD200成就：|r|n「穿過幻象深處」|n|cFFFFD200NPC：|r怒西昂|n|cFFFFD200地點：|r心之室,,34,4,310600,310609,310602,310608
133,奧丹姆|n|cFFFFD200任務串起點：|r|n「泰坦級問題」|n|cFFFFD200任務獎勵：|r|n「步步進逼的威脅」|n|cFFFFD200任務給予者：|r法歐瑞斯王|n|cFFFFD200地點：|r蘭姆卡韓,,35,1,310690,310712,310690,310712
134,奧丹姆|n|cFFFFD200混合：|r永恆靈魂之息|n|cFFFFD200任務：|r|n當週第一個黑暗幻象每日任務|n|cFFFFD200任務給予者：|r暗爪探員|n|cFFFFD200地點：|r靠近奧丹姆或恆春谷的黑暗幻象傳送門,,35,2,310705,311166,311194,311197
135,奧丹姆|n|cFFFFD200聲望：|r奧丹姆協議者 - 崇敬|n|cFFFFD200商人：|r補給官蔻菈|n|cFFFFD200地點：|r蘭姆卡韓|n|cFFFFD200費用：|r50個腐化的紀念物,,35,3,310710,311167,311195,311198
136,奧丹姆|n|cFFFFD200聲望：|r奧丹姆協議者補給品|n|cFFFFD200商人：|r補給官蔻菈|n|cFFFFD200地點：|r蘭姆卡韓,,35,4,310711,311177,311195,311198
137,恩若司的恐怖幻象|n|cFFFFD200掉落：|r|n索爾或艾蘭里亞的詛咒寶箱|n|cFFFFD200地點：|r心之室,,36,1,311203,311210,311203,311210
138,恩若司恐怖幻象|n|cFFFFD200掉落：|r|n失落區域的腐化寶箱|n|cFFFFD200地點：|r心之室,,36,2,311206,311211,311302,311304
139,恩若司恐怖幻象|n|cFFFFD200合成：|r堅定力量的火花|n|cFFFFD200掉落：|r|n腐化與失落區域的腐化寶箱|n|cFFFFD200地點：|r心之室,,36,3,311207,311212,311303,311306
140,恩若司恐怖幻象|n|cFFFFD200成就：|r|n「穿過幻象深處」|n|cFFFFD200NPC：|r怒西昂|n|cFFFFD200地點：|r心之室,,36,4,311209,311213,311303,311306
141,奈奧羅薩團隊副本|n|cFFFFD200合成：|r|n加密的奈奧羅薩文本|n|cFFFFD200掉落：|r|n預言者斯奇崔、『掠心喪神』萊公、薇希歐娜、『腐化重生』伊蓋諾斯或『腐化者』恩若司,,37,1,312725,312771,312725,312771
142,奈奧羅薩團隊副本|n|cFFFFD200合成：|r|n加密的奈奧羅薩文本|n|cFFFFD200掉落：|r|n預言者斯奇崔、『掠心喪神』萊公、薇希歐娜、『腐化重生』伊蓋諾斯或『腐化者』恩若司,,37,2,312764,312773,313921,313919
143,奈奧羅薩團隊副本|n|cFFFFD200合成：|r|n加密的奈奧羅薩文本|n|cFFFFD200掉落：|r|n預言者斯奇崔、『掠心喪神』萊公、薇希歐娜、『腐化重生』伊蓋諾斯或『腐化者』恩若司,,37,3,312768,312774,313922,313920
144,奈奧羅薩團隊副本|n|cFFFFD200掉落：|r|n『腐化者』恩若司 - 傳奇難度,,37,4,312770,312775,313922,313920
